CardId,RuleFamily,RuleCategory,Trigger,Base,Translate,WordCategory,Before,After,Answer,Outcome,Why,Why-Cym
c000035,"Nasal, Contact",Numerals,deunaw,blynedd,years (in time phrases),noun-fem,Cafodd y cwmni ei werthu ar ôl deunaw,.,mlynedd,NM,"With 'deunaw' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'deunaw' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000036,"Nasal, Contact",Numerals,ugain,blynedd,years (in time phrases),noun-fem,Bywodd y teulu dramor am ugain,.,mlynedd,NM,"With 'ugain' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'ugain' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000037,"Nasal, Contact",Numerals,deugain,blynedd,years (in time phrases),noun-fem,Rhys gafodd seibiant o ddeugain,.,mlynedd,NM,"With 'deugain' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'deugain' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000038,"Nasal, Contact",Numerals,can,blynedd,years (in time phrases),noun-fem,Mae’r bont yn sefyll ers can,.,mlynedd,NM,"With 'can' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'can' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000039,"Nasal, Contact",Numerals,pum,blynedd,years (in time phrases),noun-fem,Prynwyd y tŷ pum,ar hugain yn ôl.,mlynedd,NM,"With 'pum' in a year expression, the noun takes nasal mutation: blynedd becomes mlynedd (b → m).","Gyda 'pum' mewn mynegiant blynyddoedd, mae’r enw’n treiglo’n drwynol: blynedd → mlynedd (b → m)."
c000040,"Soft, Contact",Numerals,dau,cwmni,company,noun-masc,Cawsom gynnig gan dau,.,gwmni,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so cwmni becomes gwmni (c → g).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cwmni → gwmni (c → g)."
c000041,"Soft, Contact",Numerals,dau,teulu,family,noun-masc,Mae dau,yn byw yn y tŷ mawr.,deulu,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so teulu becomes deulu (t → d).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly teulu → deulu (t → d)."
c000042,"Soft, Contact",Numerals,dau,cynllun,plan/scheme,noun-masc,Cyflwynwyd dau,i’r pwyllgor.,gynllun,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so cynllun becomes gynllun (c → g).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cynllun → gynllun (c → g)."
c000043,"Soft, Contact",Numerals,dau,dyn,man,noun-masc,Gwelon ni dau,yn aros wrth y drws.,ddyn,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so dyn becomes ddyn (d → dd).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly dyn → ddyn (d → dd)."
c000044,"Soft, Contact",Numerals,dau,mudiad,movement,noun-masc,Mae dau,yn cefnogi’r achos.,fudiad,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so mudiad becomes fudiad (m → f).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly mudiad → fudiad (m → f)."
c000045,"Soft, Contact",Numerals,dau,tîm,team,noun-masc,Gêm rhwng dau,.,dîm,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so tîm becomes dîm (t → d).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly tîm → dîm (t → d)."
c000046,"Soft, Contact",Numerals,dau,polisi,policy,noun-masc,Cawsom dau,newydd gan y cwmni.,bolisi,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so polisi becomes bolisi (p → b).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly polisi → bolisi (p → b)."
c000047,"Soft, Contact",Numerals,dau,cyfrwng,medium/channel,noun-masc,Dewison nhw dau,cyfathrebu.,gyfrwng,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so cyfrwng becomes gyfrwng (c → g).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cyfrwng → gyfrwng (c → g)."
c000048,"Soft, Contact",Numerals,dau,cwestiwn,question,noun-masc,Atebais dau,yn ystod y drafodaeth.,gwestiwn,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so cwestiwn becomes gwestiwn (c → g).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly cwestiwn → gwestiwn (c → g)."
c000049,"Soft, Contact",Numerals,dau,bore,morning,noun-masc,Cawsom gyfarfodydd dau,yn olynol.,fore,SM,"With 'dau' before a masculine noun, the noun soft-mutates, so bore becomes fore (b → f).","Gyda 'dau' cyn enw gwrywaidd, mae’r enw’n treiglo’n feddal, felly bore → fore (b → f)."
c000050,"Soft, Contact",Numerals,dau,cynnig,offer/proposal,noun-masc,Daeth dau,ar gyfer y swydd.,gynnig,SM,"After the number dau (“two”), the following noun takes soft mutation, so cynnig becomes gynnig (c → g).","Ar ôl y rhif dau (“two”), mae’r enw sy’n dilyn yn cael treiglad meddal, felly cynnig → gynnig (c → g)."
c000051,"Soft, Contact",Numerals,dau,cofnod,record/entry,noun-masc,Cedwir dau,ar y system.,gofnod,SM,"After dau, the following noun takes soft mutation, so cofnod becomes gofnod (c → g).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly cofnod → gofnod (c → g)."
c000052,"Soft, Contact",Numerals,dau,cyfarfod,meeting,noun-masc,Mae dau,wedi’u trefnu bore yma.,gyfarfod,SM,"After dau, the following noun takes soft mutation, so cyfarfod becomes gyfarfod (c → g).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly cyfarfod → gyfarfod (c → g)."
c000053,"Soft, Contact",Numerals,dau,digwyddiad,event,noun-masc,Cafodd dau,eu gohirio.,ddigwyddiad,SM,"After dau, the following noun takes soft mutation, so digwyddiad becomes ddigwyddiad (d → dd).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly digwyddiad → ddigwyddiad (d → dd)."
c000054,"Soft, Contact",Numerals,dau,dewis,choice/option,noun-masc,Roedden ni’n cael dau,yn y ffurflen.,ddewis,SM,"After dau, the following noun takes soft mutation, so dewis becomes ddewis (d → dd).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly dewis → ddewis (d → dd)."
c000055,"Soft, Contact",Numerals,dau,prosiect,project,noun-masc,Mae’r adran yn rhedeg dau,eleni.,brosiect,SM,"After dau, the following noun takes soft mutation, so prosiect becomes brosiect (p → b).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly prosiect → brosiect (p → b)."
c000056,"Soft, Contact",Numerals,dau,grŵp,group,noun-masc,Mae’r dosbarth wedi’i rannu’n dau,.,rŵp,SM,"After dau, the following noun takes soft mutation. With words starting with g-, the g disappears, so grŵp becomes rŵp.","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal. Gyda geiriau sy’n dechrau gyda g-, mae’r g yn diflannu, felly grŵp → rŵp."
c000057,"Soft, Contact",Numerals,dau,papur,paper/document,noun-masc,Mae gen i dau,i’w argraffu.,bapur,SM,"After dau, the following noun takes soft mutation, so papur becomes bapur (p → b).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly papur → bapur (p → b)."
c000058,"Soft, Contact",Numerals,dau,clwb,club,noun-masc,Mae dau,pêl-droed yn y dref.,glwb,SM,"After dau, the following noun takes soft mutation, so clwb becomes glwb (c → g).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly clwb → glwb (c → g)."
c000059,"Soft, Contact",Numerals,dau,dosbarth,class,noun-masc,Rydyn ni’n rhedeg dau,bob prynhawn.,ddosbarth,SM,"After dau, the following noun takes soft mutation, so dosbarth becomes ddosbarth (d → dd).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly dosbarth → ddosbarth (d → dd)."
c000060,"Soft, Contact",Numerals,dau,tad,father,noun-masc,Mae ganddi dau,(un biolegol ac un cam).,dad,SM,"After dau, the following noun takes soft mutation, so tad becomes dad (t → d).","Ar ôl dau, mae’r enw sy’n dilyn yn cael treiglad meddal, felly tad → dad (t → d)."
c000061,"Nasal, Contact",Possessive,fy,pwyllgor,committee,noun-masc,Dyma fy,i.,mhwyllgor,NM,The possessive fy (“my”) causes nasal mutation on words starting with p/t/c. Here pwyllgor becomes mhwyllgor (p → mh).,Mae’r meddiannol fy (“my”) yn achosi treiglad trwynol ar eiriau sy’n dechrau gyda p/t/c. Yma pwyllgor → mhwyllgor (p → mh).
c000062,"Soft, Contact",Possessive,dy,pwyllgor,committee,noun-masc,Pryd yw dy,di’n cyfarfod?,bwyllgor,SM,"The possessive dy (“your”, singular) causes soft mutation, so pwyllgor becomes bwyllgor (p → b).","Mae’r meddiannol dy (“your”, unigol) yn achosi treiglad meddal, felly pwyllgor → bwyllgor (p → b)."
c000063,"Soft, Contact",Possessive,ei,pwyllgor,committee,noun-masc,Cyhoeddodd ef restr ei,.,bwyllgor,SM,"ei meaning “his” causes soft mutation, so pwyllgor becomes bwyllgor (p → b).","Mae ei sy’n golygu “his” yn achosi treiglad meddal, felly pwyllgor → bwyllgor (p → b)."
c000064,"Aspirate, Contact",Possessive,ei,arian,money,noun-masc,Roedd hi’n aros am ei,hi.,harian,AM,"ei meaning “her” causes aspirate mutation. With a vowel at the start, this shows as adding h-, so arian becomes harian.","Mae ei sy’n golygu “her” yn achosi treiglad llaes. Gyda llafariad ar y dechrau, mae hyn yn golygu ychwanegu h-, felly arian → harian."
c000065,None,Possessive,eich,pwyllgor,committee,noun-masc,Faint o waith sydd ar eich,chi?,pwyllgor,NONE,"In standard Welsh, eich (“your”, plural/formal) does not trigger mutation here, so it stays pwyllgor.","Yn Gymraeg safonol, nid yw eich (“your”, lluosog/ffurfiol) fel arfer yn achosi treiglad yma, felly mae’n aros yn pwyllgor."
c000066,"Nasal, Contact",Possessive,fy,comisiynydd,commissioner,noun-masc,Dyma fy,i heddiw.,nghomisiynydd,NM,"fy (“my”) causes nasal mutation on c-, so comisiynydd becomes nghomisiynydd (c → ngh).","Mae fy (“my”) yn achosi treiglad trwynol ar c-, felly comisiynydd → nghomisiynydd (c → ngh)."
c000067,"Soft, Contact",Possessive,dy,comisiynydd,commissioner,noun-masc,Dyma dy,di.,gomisiynydd,SM,"dy (“your”, singular) causes soft mutation on c-, so comisiynydd becomes gomisiynydd (c → g).","Mae dy (“your”, unigol) yn achosi treiglad meddal ar c-, felly comisiynydd → gomisiynydd (c → g)."
c000068,"Aspirate, Contact",Possessive,ei,comisiynydd,commissioner,noun-masc,Dyma ei,hi.,chomisiynydd,AM,"ei meaning “her” causes aspirate mutation on c-, so comisiynydd becomes chomisiynydd (c → ch).","Mae ei sy’n golygu “her” yn achosi treiglad llaes ar c-, felly comisiynydd → chomisiynydd (c → ch)."
c000069,"Soft, Contact",Possessive,ei,comisiynydd,commissioner,noun-masc,Dyma ei,ef.,gomisiynydd,SM,"ei meaning “his” causes soft mutation on c-, so comisiynydd becomes gomisiynydd (c → g).","Mae ei sy’n golygu “his” yn achosi treiglad meddal ar c-, felly comisiynydd → gomisiynydd (c → g)."
c000070,"Aspirate, Contact",Possessive,ei,cynulleidfa,audience,noun-fem,Cafodd hi gefnogaeth ei,.,chynulleidfa,AM,"ei meaning “her” causes aspirate mutation on c-, so cynulleidfa becomes chynulleidfa (c → ch).","Mae ei sy’n golygu “her” yn achosi treiglad llaes ar c-, felly cynulleidfa → chynulleidfa (c → ch)."
c000071,"Soft, Contact",Possessive,ei,cynulleidfa,audience,noun-fem,Cafodd ef gefnogaeth ei,.,gynulleidfa,SM,"ei meaning “his” causes soft mutation on c-, so cynulleidfa becomes gynulleidfa (c → g).","Mae ei sy’n golygu “his” yn achosi treiglad meddal ar c-, felly cynulleidfa → gynulleidfa (c → g)."
c000072,"Nasal, Contact",Possessive,fy,gwasg,press/publisher,noun-fem,Mae gen i brofiad yn fy,.,ngwasg,NM,"fy (“my”) causes nasal mutation on g-, so gwasg becomes ngwasg (g → ng).","Mae fy (“my”) yn achosi treiglad trwynol ar g-, felly gwasg → ngwasg (g → ng)."
c000073,"Soft, Contact",Possessive,dy,gwasg,press/publisher,noun-fem,Rwyt ti’n rhedeg dy,di?,wasg,SM,"dy causes soft mutation. With words starting with g-, the g disappears, so gwasg becomes wasg.","Mae dy yn achosi treiglad meddal. Gyda geiriau sy’n dechrau gyda g-, mae’r g yn diflannu, felly gwasg → wasg."
c000074,"Soft, Contact",Possessive,ei,gwasg,press/publisher,noun-fem,Dyna ei,ef yn y dref.,wasg,SM,"ei meaning “his” causes soft mutation. With g-, the g disappears, so gwasg becomes wasg.","Mae ei sy’n golygu “his” yn achosi treiglad meddal. Gyda g-, mae’r g yn diflannu, felly gwasg → wasg."
c000075,None,Possessive,eu,deddf,law/act,noun-fem,Cyhoeddwyd testun eu,nhw.,deddf,NONE,"In standard Welsh, eu (“their”) does not trigger mutation, so it stays deddf.","Yn Gymraeg safonol, nid yw eu (“their”) yn achosi treiglad, felly mae’n aros yn deddf."
c000076,None,Possessive,dy,senedd,senedd/parliament,noun-fem,Dyma dy,di.,senedd,NONE,"This is a spot where dy often causes soft mutation, but words starting with s do not change, so it stays senedd.","Dyma fan lle mae dy yn aml yn achosi treiglad meddal, ond nid yw geiriau sy’n dechrau gyda s yn newid, felly mae’n aros yn senedd."
c000077,None,Possessive,eu,mynediad,access,noun-masc,Diweddarwyd y manylion am eu,nhw.,mynediad,NONE,"eu (“their”) does not trigger mutation in standard Welsh, so it stays mynediad.","Nid yw eu (“their”) yn achosi treiglad yn Gymraeg safonol, felly mae’n aros yn mynediad."
c000078,"Soft, Contact",Preposition,o,tanseilio,undermining / to undermine,verb-noun,Ac o gofio’r peryglon o,hyder mewn cig.,danseilio,SM,"The preposition o (“of/from”) causes soft mutation on the next word, so tanseilio becomes danseilio (t → d).","Mae’r arddodiad o (“of/from”) yn achosi treiglad meddal ar y gair nesaf, felly tanseilio → danseilio (t → d)."
c000079,"Soft, Contact",Preposition,o,bywyd,life,noun-masc,Does dim llawer o,eleni.,fywyd,SM,"o causes soft mutation on the next word, so bywyd becomes fywyd (b → f).","Mae o yn achosi treiglad meddal ar y gair nesaf, felly bywyd → fywyd (b → f)."
c000080,"Soft, Contact",Preposition,o,cig,meat,noun-masc,Mae’r cawl yn cynnwys llawer o,.,gig,SM,"o causes soft mutation on the next word, so cig becomes gig (c → g).","Mae o yn achosi treiglad meddal ar y gair nesaf, felly cig → gig (c → g)."
c000081,"Soft, Contact",Preposition,o,pryd,time/occasion,noun-masc,Rydyn ni’n cwrdd o,i’w gilydd.,bryd,SM,"o causes soft mutation on the next word, so pryd becomes bryd (p → b), as in o bryd i’w gilydd.","Mae o yn achosi treiglad meddal ar y gair nesaf, felly pryd → bryd (p → b), fel yn o bryd i’w gilydd."
c000082,"Soft, Contact",Preposition,o,tu,side,noun-masc,Rydyn ni o,’r tîm lleol.,du,SM,"o causes soft mutation on the next word, so tu becomes du (t → d).","Mae o yn achosi treiglad meddal ar y gair nesaf, felly tu → du (t → d)."
c000083,"Soft, Contact",Preposition,o,diwedd,end,noun-masc,Mae’r rheolau’n weithredol o,y flwyddyn.,ddiwedd,SM,"o causes soft mutation, so diwedd becomes ddiwedd (d → dd).","Mae o yn achosi treiglad meddal, felly diwedd → ddiwedd (d → dd)."
